Date,Close
2019-01-02,64.32
2019-01-03,61.53
2019-01-04,63.57
2019-01-07,63.57
2019-01-08,63.62
2019-01-09,63.88
2019-01-10,64.19
2019-01-11,63.73
2019-01-14,63.37
2019-01-15,64.08
2019-01-16,63.77
2019-01-17,64.28
2019-01-18,64.7
2019-01-22,65.39
2019-01-23,66.43
2019-01-24,64.74
2019-01-25,67.09
2019-01-28,66.9
2019-01-29,67.04
2019-01-30,68.15
2019-01-31,68.14
2019-02-01,68.11
2019-02-04,67.58
2019-02-05,69.34
2019-02-06,68.85
2019-02-07,69.14
2019-02-08,69.75
2019-02-11,69.99
2019-02-12,69.75
2019-02-13,70.51
2019-02-14,70.84
2019-02-15,70.71
2019-02-19,70.2
2019-02-20,70.39
2019-02-21,70.7
2019-02-22,71.3
2019-02-25,71.05
2019-02-26,71.14
2019-02-27,70.15
2019-02-28,70.26
2019-03-01,70.85
2019-03-04,70.95
2019-03-05,71.58
2019-03-06,71.27
2019-03-07,70.61
2019-03-08,69.36
2019-03-11,69.68
2019-03-12,70.05
2019-03-13,70.1
2019-03-14,70.74
2019-03-15,70.67
2019-03-18,70.84
2019-03-19,71.38
2019-03-20,71.63
2019-03-21,72.26
2019-03-22,71.96
2019-03-25,72.3
2019-03-26,72.96
2019-03-27,72.74
2019-03-28,73.96
2019-03-29,74.34
2019-04-01,73.96
2019-04-02,74.27
2019-04-03,74.33
2019-04-04,74.35
2019-04-05,75.03
2019-04-08,75.2
2019-04-09,75.12
2019-04-10,75.48
2019-04-11,75.87
2019-04-12,76.65
2019-04-15,76.16
2019-04-16,75.7
2019-04-17,75.12
2019-04-18,76.06
2019-04-22,75.4
2019-04-23,75.99
2019-04-24,76.39
2019-04-25,77.11
2019-04-26,77.45
2019-04-29,76.91
2019-04-30,77.68
2019-05-01,77.52
2019-05-02,77.47
2019-05-03,78.05
2019-05-06,78.06
2019-05-07,77.96
2019-05-08,78.05
2019-05-09,77.9
2019-05-10,78.42
2019-05-13,76.68
2019-05-14,77.06
2019-05-15,77.76
2019-05-16,78.9
2019-05-17,78.91
2019-05-20,76.66
2019-05-21,77.53
2019-05-22,77.25
2019-05-23,76.41
2019-05-24,76.15
2019-05-28,75.7
2019-05-29,75.28
2019-05-30,76.17
2019-05-31,76.06
2019-06-03,76.22
2019-06-04,78.52
2019-06-05,79.96
2019-06-06,81.4
2019-06-07,82.48
2019-06-10,81.93
2019-06-11,82.37
2019-06-12,82.93
2019-06-13,83.35
2019-06-14,84.24
